Edge1-Edge2	KappaScore
GO:0030518 (term-term) GO:0009725	0.6007067137809187
GO:0030518 (term-term) GO:0009755	0.9500662836942111
GO:0030520 (term-term) GO:0009725	0.5077784691972618
GO:0030520 (term-term) GO:0009755	0.8353569694026236
GO:0030520 (term-term) GO:0030518	0.884339815762538
GO:0030520 (term-term-ontology) GO:0030518	2.0
GO:0031323 (term-term) GO:0006351	0.5051944706791449
GO:0031323 (term-term) GO:0006355	0.5176299837787074
GO:0031323 (term-term) GO:0009059	0.6020020391139123
GO:0031323 (term-term) GO:0009889	0.6311666511237527
GO:0031323 (term-term) GO:0009893	0.5625531111320933
GO:0031323 (term-term) GO:0010468	0.642514542300235
GO:0031323 (term-term) GO:0010556	0.6148318747121141
GO:0031323 (term-term) GO:0010604	0.5020235632700782
GO:0031323 (term-term) GO:0016070	0.5650918887712881
GO:0031323 (term-term) GO:0018130	0.5352704514975414
GO:0031323 (term-term) GO:0019219	0.6738189165784663
GO:0031323 (term-term) GO:0019438	0.5352704514975414
GO:0031323 (term-term-ontology) GO:0019219	2.0
GO:0031324 (term-term) GO:0000122	0.48362528560548357
GO:0031324 (term-term) GO:0009059	0.4173932822806884
GO:0031324 (term-term) GO:0009889	0.40945239718245846
GO:0031324 (term-term) GO:0009890	0.768878344105375
GO:0031324 (term-term) GO:0009892	0.8935719331292677
GO:0031324 (term-term) GO:0010556	0.42535104364326376
GO:0031324 (term-term) GO:0010558	0.7593578507658286
GO:0031324 (term-term) GO:0010605	0.866524923222301
GO:0031324 (term-term) GO:0019219	0.4040533413696977
GO:0031324 (term-term-ontology) GO:0009892	2.0
GO:0031324 (term-term-ontology) GO:0031323	2.0
GO:0031325 (term-term) GO:0006351	0.4552466655953721
GO:0031325 (term-term) GO:0006355	0.4651423987164057
GO:0031325 (term-term) GO:0009059	0.5090581195179932
GO:0031325 (term-term) GO:0009889	0.5361247947454844
GO:0031325 (term-term) GO:0009891	0.7139240506329114
GO:0031325 (term-term) GO:0009893	0.8697084500082359
GO:0031325 (term-term) GO:0010556	0.5190702242592895
GO:0031325 (term-term) GO:0010557	0.6974680639485964
GO:0031325 (term-term) GO:0010604	0.7977875386367334
GO:0031325 (term-term) GO:0018130	0.4768943393161698
GO:0031325 (term-term) GO:0019219	0.48572610674389727
GO:0031325 (term-term) GO:0019438	0.4768943393161698
GO:0031325 (term-term) GO:0031323	0.5387755102040817
GO:0031325 (term-term-ontology) GO:0009893	2.0
GO:0031325 (term-term-ontology) GO:0010562	2.0
GO:0031325 (term-term-ontology) GO:0031323	2.0
GO:0031326 (term-term) GO:0003700	0.42051282051282046
GO:0031326 (term-term) GO:0006351	0.8523117137722594
GO:0031326 (term-term) GO:0006355	0.8618919579564899
GO:0031326 (term-term) GO:0006357	0.6614427287393411
GO:0031326 (term-term) GO:0006366	0.6519328507623593
GO:0031326 (term-term) GO:0009059	0.9713658248162851
GO:0031326 (term-term) GO:0009889	1.0
GO:0031326 (term-term) GO:0009890	0.4341107454571469
GO:0031326 (term-term) GO:0009891	0.6148602590320382
GO:0031326 (term-term) GO:0009893	0.44202281627788187
GO:0031326 (term-term) GO:0010468	0.7814313346228239
GO:0031326 (term-term) GO:0010556	0.9809604043807919
GO:0031326 (term-term) GO:0010557	0.5996230682246514
