Group,WNT,WNT,SHH,SHH,Group3,Group3,Group4,Group4
Attribute,name,correlation,name,correlation,name,correlation,name,correlation
72,CNTN5,0.66,ROR1,0.745384615384615,C2orf71,0.896153846153846,FBLIM1,0.679230769230769
73,KCNA2,0.843076923076923,PTPRK,0.913076923076923,LRRC34,0.854615384615385,PDE4B,0.838461538461538
74,TMEM151A,0.615384615384615,SIVA1,0.526153846153846,PMEPA1,0.695384615384615,B3GAT1,0.82
75,IRX2,0.726923076923077,TRHDE,0.834615384615385,EML1,0.53,FHDC1,0.818461538461539
76,BCAR3,0.598461538461538,NGEF,0.57,SERTAD3,0.546153846153846,ACVR1,0.865384615384615
77,SYNDIG1,0.764615384615385,NCAPG,0.53,RGS16,0.636923076923077,ABHD17C,0.583076923076923
78,DACT1,0.782307692307692,SPATC1L,0.665384615384615,AZIN1,0.513846153846154,RIC8B,0.532307692307692
79,MYO1B,0.838461538461538,COX4I1,0.642307692307692,DAP3,0.533846153846154,PTGER2,0.862307692307692
80,SERINC5,0.710769230769231,BTBD11,0.862307692307692,DMRTA2,0.779230769230769,RFX3,0.679230769230769
81,SP9,0.738218901903489,IRX1,0.83,PTPRF,0.710769230769231,PPP2R3A,0.794615384615385
82,AP3S2,0.633846153846154,PRLR,0.761538461538462,MBOAT2,0.674615384615385,SYT4,0.662307692307692
83,SH3D19,0.785384615384615,UXS1,0.58,GK5,0.545384615384615,HECA,0.843076923076923
84,FZD10,0.751538461538462,SYT7,0.73,RD3,0.925384615384615,NFIA,0.614615384615385
85,RASSF3,0.591538461538462,MYD88,0.558461538461538,PPTC7,0.762307692307692,MYO6,0.599230769230769
86,ZMAT3,0.55,INPP4B,0.666153846153846,PARP12,0.600769230769231,FEZF1,0.927420040126835
87,ZNF804B,0.676153846153846,RPL21,0.525384615384615,SLITRK3,0.904615384615385,ANKRD30B,0.893076923076923
88,TMEM51,0.770769230769231,GNG3,0.698461538461539,PDC,0.74193378208035,TBC1D12,0.775384615384615
89,GDE1,0.496923076923077,SLC4A11,0.605384615384615,DYRK2,0.747692307692308,PDK2,0.538461538461539
90,CNTN6,0.78,KCNT2,0.832307692307692,LDLRAD4,0.923076923076923,FXYD6-FXYD2,0.801538461538462
91,PLTP,0.652307692307692,ARHGEF26,0.853846153846154,TAC1,0.790769230769231,SBP1,0.659230769230769
92,ST3GAL4,0.64,ATP1B3,0.53,ELL2,0.849230769230769,TANC2,0.690769230769231
