Gene,Group,Correlation
NTF3,Group4,0.879230769230769
NPTX1,Group3,0.879230769230769
CNTN1,Group4,0.879230769230769
BMP7,WNT,0.878461538461539
VRK2,WNT,0.878461538461539
AGTR1,Group4,0.878461538461539
NKAIN3,Group4,0.878461538461539
VRK2,SHH,0.878461538461539
C18orf42,WNT,0.877692307692308
FRMPD1,Group3,0.877692307692308
GDF7,Group4,0.877692307692308
KIAA0319,Group4,0.877692307692308
ROBO1,SHH,0.876923076923077
TOM1L1,SHH,0.876923076923077
SLC22A23,Group3,0.876923076923077
TOX,Group4,0.876923076923077
TMEM98,SHH,0.876923076923077
TOM1L1,WNT,0.876923076923077
LRRC55,WNT,0.876923076923077
SLC22A23,Group4,0.876923076923077
CPNE4,Group4,0.876153846153846
MCC,Group4,0.876153846153846
TRIM36,Group3,0.875384615384615
SYT1,WNT,0.875384615384615
SYT1,SHH,0.875384615384615
GNAL,Group4,0.874615384615385
NTN4,Group4,0.874615384615385
NTN4,SHH,0.874615384615385
SYT2,WNT,0.874615384615385
USP2,Group3,0.874615384615385
ELAVL4,SHH,0.873846153846154
RD3L,Group3,0.873472079659911
L3MBTL4,SHH,0.873076923076923
PLXDC1,WNT,0.872307692307692
IGSF21,Group4,0.872307692307692
TMEM35,Group4,0.871538461538462
RASGEF1B,Group3,0.870769230769231
CSRNP3,Group3,0.870769230769231
UNC5C,SHH,0.870769230769231
LRRC38,Group4,0.870769230769231
IL17D,WNT,0.870769230769231
KCNJ6,SHH,0.870769230769231
GALNT12,WNT,0.870769230769231
TFAP2D,Group4,0.870276757054907
SORCS3,WNT,0.87
DAGLA,SHH,0.87
SMOC1,Group4,0.87
GRIK4,Group4,0.87
FANCF,Group3,0.869230769230769
NMNAT2,SHH,0.868461538461539
INHBB,Group3,0.868461538461539
ROBO2,SHH,0.867692307692308
NIM1,Group4,0.867692307692308
RBMS1,SHH,0.867692307692308
DMD,Group3,0.867692307692308
CENPW,Group3,0.867692307692308
DAPL1,SHH,0.866923076923077
GCNT2,SHH,0.866923076923077
MAPRE2,Group3,0.866923076923077
MAPRE2,Group4,0.866923076923077
LPPR3,Group4,0.866923076923077
ZNF516,SHH,0.866153846153846
CACNA1A,WNT,0.866153846153846
FLNC,SHH,0.866153846153846
HAS3,SHH,0.866153846153846
LIN28B,Group3,0.866051064936904
ACVR1,Group4,0.865384615384615
SLC4A8,SHH,0.865384615384615
AL354993.1,SHH,0.865384615384615
