PHLDB2,HSPE1,CCIN,SLC9A7,AL163636.6,,,,,SIK3
ATF3,PROX1,UGCG,MEIS3,MSN,,,,,CITED1
HIBADH,FAM19A5,ZBTB9,POU2F1,TEAD1,,,,,KIAA0101
OBFC1,KLF13,MBOAT2,THBS1,GPR56,,,,,RERE
ZDHHC2,TEX9,EGLN3,KIAA1239,C3orf72,,,,,GPLD1
SYT2,MET,ETS2,GFRA2,CTDSP1,,,,,BICD1
CSF1,MZT2A,ZNF649,DDX31,CYBRD1,,,,,LYRM5
EDA,GDAP1L1,EFHC1,GNAQ,RBP1,,,,,NCKAP5
TRABD2A,FAM155A,ERI1,NCOA7,CPED1,,,,,AKR1E2
ZFHX3,ROBO1,IK,BCAS3,HSCB,,,,,H2AFY2
KCNG4,SLC41A2,DOCK9,FIBCD1,S100A2,,,,,PTP4A1
FBXO4,KRT19,BACE1,SLC16A14,IQCJ-SCHIP1,,,,,MAPK13
RORB,ECM2,RIMBP2,FHDC1,TOM1L1,,,,,SIRT4
GAD1,CHDH,GUCA1C,TCEAL6,TRIP6,,,,,TP53RK
ERICH2,KLF7,RPP25,SDCCAG8,EPHB4,,,,,HDHD3
PYGL,ATG10,MYC,CELSR2,STK33,,,,,MPC1
C1orf95,GPR85,RASGEF1B,DTX4,ANKRD65,,,,,TBC1D8
COL8A2,KIF21A,FZD1,CSPG5,ARL4C,,,,,TANGO6
NUDT16,OPRM1,CDK7,IL13RA2,AAED1,,,,,EPS8
FGFR1,RPS27A,SNX25,OPA1,MOB1A,,,,,FBXO9
PRELID2,LGR4,C7orf33,TMTC4,TRMT112,,,,,RABEP1
CDC34,NYAP1,SST,SHD,MYO7A,,,,,SGK1
LGI2,GRID1,TAC1,H3F3C,PCYT1B,,,,,SYDE2
SLC7A11,DDX60,ZNF311,RP11-159G9.5,EEF1G,,,,,SGMS1
OSBPL5,CRISPLD2,ACVR2A,AMOT,SNX5,,,,,FAM69A
NTPCR,TLR9,LRRC2,NNAT,PDE5A,,,,,C14orf39
CBLN2,ELN,CLIP4,HIST1H4F,STK3,,,,,PPM1A
DSP,KCNJ4,TRIM36,THAP7,RPL15,,,,,FH
PRKG1,BTBD11,JAZF1,LPAR4,VRK2,,,,,GTF2IRD1
TM2D1,SLC4A8,NUPL2,CDKN2B,TGFB1I1,,,,,TBC1D9
APP,HIST1H1D,DAB1,PEX5L,FLRT2,,,,,MAPK6
ALPL,RASGEF1C,MSH3,DROSHA,CTNNA2,,,,,MYRIP
RNF150,PTPRK,NUP93,CHL1,RHOBTB3,,,,,PPM1E
AIP,PTGDS,ARL6,DLG5,TFF3,,,,,LYRM2
SERPINH1,RPL7A,GK5,APAF1,GPR173,,,,,CAMSAP3
ETFB,SEMA6A,LRRC3DN,CELF5,TGIF2,,,,,TMEM91
TSPAN11,EGFR,FBXL17,PPP1R21,EVC,,,,,NME3
PVR,MCM2,MCF2L2,BTRC,BTG2,,,,,GRSF1
TMEM261,H2AFZ,PLA2G4C,DLC1,MAP2K6,,,,,MRS2
EBF2,NABP1,CMTR1,IGSF1,JPH4,,,,,HOOK1
WNT16,FOXP1,DMD,GOLGA8B,UGT8,,,,,RFK
ARHGAP5,STX8,RIMS2,C14orf37,CMTM3,,,,,KLF11
CACNA1A,PIRT,C1QTNF4,PHACTR1,RNASE4,,,,,USP32
CD58,SLC8A2,NANOS1,PTPRN2,CKLF-CMTM1,,,,,ATF7IP
OXSM,MPG,KCTD6,CADPS,,,,,,SPRYD7
SLC25A21-AS1,ZC3H12C,RCOR1,KALRN,,,,,,LPPR4
TRAM2,PPFIBP1,SNRPC,MYT1L,,,,,,LSM11
C11orf87,FREM1,CABP2,RPH3A,,,,,,CCNE1
NIPSNAP3A,PARP4,DIRAS2,CHGB,,,,,,GRM2
CYB561,MYCL,TBX3,NRN1,,,,,,USP25
CA11,CALCB,PTDSS1,SMOC1,,,,,,MAP3K13
GGACT,MMS22L,CSTF3,FGF13,,,,,,FBN3
DYRK4,PDE7A,INHBB,TUBB2A,,,,,,CBX1
PALD1,HIST3H2A,C5orf22,GPR139,,,,,,MFSD11
PLEKHO2,FHL1,ZNF814,GPR52,,,,,,SNX11
KREMEN1,CCNB1,FGFBP2,SLC25A51,,,,,,DMGDH
AC010441.1,GNG3,RAD54L2,AMER2,,,,,,PPM1D
ALK,MGP,ASAP1,ENOX1,,,,,,HLTF
CHST8,HS6ST1,ACTR1B,C7orf13,,,,,,DOK6
SWI5,MTERFD1,HKR1,FAM65B,,,,,,PNMAL1
AC096677.1,RP11-383H13.1,HMGA1,KCNA1,,,,,,AES
FAM13C,PALLD,CDH8,KLHL36,,,,,,CDH24
FUT10,FAM198A,PTPN13,RALBP1,,,,,,RTN4IP1
SLC7A8,KCNA3,TGFBR3,NDN,,,,,,PTBP2
XXYLT1,RPS6KA6,LPPR1,PHYH,,,,,,AMN1
CREB3L2,BOK,TSHZ3,TP53INP2,,,,,,EDIL3
MAN1C1,TRHDE,LRP2,LOH12CR2,,,,,,SMIM11
MYO3B,PGBD5,PTPRF,ARID5B,,,,,,MMP15
