Group,WNT,WNT,SHH,SHH,Group3,Group3,Group4,Group4
Attribute,name,correlation,name,correlation,name,correlation,name,correlation
167,CREB5,0.506153846153846,DZIP1,0.58,EIF2B3,0.773076923076923,CNTN1,0.879230769230769
168,CRLS1,0.521538461538462,EBPL,0.593846153846154,ELL2,0.849230769230769,CNTNAP2,0.824615384615385
169,CRYL1,0.641538461538462,ECM2,0.501538461538462,ELSPBP1,0.845858988234699,COMMD3-BMI1,0.630769230769231
170,CRYZ,0.74,EDA2R,0.736153846153846,EML1,0.53,COX11,0.556923076923077
171,CSF1,0.593076923076923,EEF1B2,0.57,EML4,0.736153846153846,CPEB2,0.643846153846154
172,CTDSP1,0.68,EEF1G,0.676923076923077,ENAH,0.64,CPEB4,0.742307692307692
173,CTDSPL,0.762307692307692,EFNB2,0.575384615384615,EOGT,0.882307692307692,CPNE4,0.876153846153846
174,CTNNA1,0.652307692307692,EGFR,0.808461538461538,EPHA2,0.801538461538462,CRMP1,0.545384615384615
175,CTNNA2,0.583076923076923,EHD1,0.489230769230769,EPHA8,0.775384615384615,CRTC3,0.689230769230769
176,CTNNAL1,0.534615384615385,EIF2A,0.543076923076923,EPS8,0.562307692307692,CRY2,0.546923076923077
177,CTSH,0.513076923076923,EIF3H,0.581538461538462,ERI1,0.783846153846154,CSPG5,0.791538461538462
178,CUBN,0.688461538461538,ELAVL4,0.873846153846154,ERI3,0.816923076923077,CSRP2,0.833846153846154
179,CXADR,0.493076923076923,ELN,0.601538461538462,ERLIN1,0.726153846153846,CTD-2116N17.1,0.552307692307692
180,CYB561,0.522307692307692,EMILIN1,0.528461538461539,ERMAP,0.610769230769231,CTD-2162K18.4,0.783846153846154
181,CYB5R2,0.63,EMILIN3,0.842307692307692,ETS2,0.506923076923077,CTNNBIP1,0.500769230769231
182,CYBA,0.547692307692308,EMP3,0.556923076923077,ETV1,0.701538461538462,CTTNBP2,0.911538461538462
183,CYBRD1,0.551538461538462,EP400,0.726153846153846,EVL,0.54,CUL1,0.750769230769231
184,CYP39A1,0.613076923076923,EPB41L4A,0.805384615384615,EXTL3,0.495384615384615,CUX2,0.516923076923077
185,DACT1,0.782307692307692,EPB41L4A-AS2,0.790769230769231,EYA2,0.934615384615385,CXADR,0.493076923076923
186,DAD1,0.516153846153846,EPB41L4B,0.827692307692308,EYS,0.921538461538462,CXXC4,0.791538461538462
187,DCTD,0.612307692307692,EPHB4,0.76,FAM114A2,0.573076923076923,CYTH3,0.486153846153846
188,DCUN1D3,0.651538461538462,ERF,0.490769230769231,FAM135B,0.629230769230769,DACH1,0.723846153846154
189,DDC,0.70782844163753,ESR2,0.643846153846154,FAM149A,0.694615384615385,DAPK1,0.641538461538462
190,DDR2,0.685384615384615,ESRRB,0.729230769230769,FAM169A,0.608461538461538,DAPK2,0.706923076923077
191,DEFA5,0.544538792347756,ETV6,0.825384615384615,FAM174B,0.932307692307692,DCBLD2,0.793076923076923
192,DERL1,0.532307692307692,EVC,0.89,FAM180B,0.726153846153846,DCLK1,0.491538461538462
193,DKK4,0.485445015161448,EVC2,0.910769230769231,FAM183A,0.706153846153846,DCX,0.796923076923077
194,DLG1,0.590769230769231,EXOC2,0.565384615384615,FAM184A,0.638461538461539,DDX23,0.585384615384615
195,DLX3,0.716153846153846,EXOC3L1,0.687692307692308,FAM19A4,0.909230769230769,DDX31,0.799230769230769
196,DLX4,0.626151840095995,EYA1,0.715384615384615,FAM69A,0.506923076923077,DEF8,0.536923076923077
197,DNAH2,0.788461538461539,F3,0.728461538461538,FAM84B,0.612307692307692,DEGS1,0.690769230769231
198,DNAJC10,0.518461538461538,FABP7,0.809230769230769,FAM89A,0.891538461538462,DFNA5,0.898461538461538
199,DNAJC27,0.507692307692308,FAHD2B,0.575384615384615,FANCF,0.869230769230769,DGKB,0.861538461538462
200,DNASE2,0.66,FAM110D,0.663846153846154,FBN3,0.733076923076923,DIRAS3,0.839230769230769
201,DNMBP,0.519230769230769,FAM111B,0.655384615384615,FBXL13,0.590769230769231,DIRC2,0.702307692307692
202,DOCK1,0.57,FAM126A,0.779230769230769,FBXL17,0.740769230769231,DLC1,0.733076923076923
203,DOK5,0.844615384615385,FAM155A,0.518461538461538,FBXO10,0.539230769230769,DLG2,0.733076923076923
204,DPM3,0.735384615384615,FAM155B,0.673076923076923,FBXO16,0.714615384615385,DLG3,0.71
205,DSC2,0.915384615384615,FAM198A,0.533076923076923,FBXO6,0.797692307692308,DLG5,0.567692307692308
206,DSCR4,0.759529250173788,FAM198B,0.695384615384615,FBXO9,0.520769230769231,DLGAP1,0.917692307692308
207,DSCR8,0.749291163009122,FAM19A5,0.842307692307692,FBXW9,0.547692307692308,DLX5,0.520769230769231
208,DSE,0.492307692307692,FAM213B,0.719230769230769,FCER2,0.916923076923077,DMGDH,0.795384615384615
