,WNT,WNT,SHH,SHH,Group3,Group3,Group4,Group4
Attribute,name,correlation,name,correlation,name,correlation,name,correlation
32,C18orf42,0.877692307692308,ROBO1,0.876923076923077,C14orf23,0.896438781584557,KCNK2,0.905384615384615
33,LRRC55,0.876923076923077,ELAVL4,0.873846153846154,PLA2G4C,0.896153846153846,SYT6,0.904615384615385
34,SYT2,0.874615384615385,L3MBTL4,0.873076923076923,C2orf71,0.896153846153846,B4GALT6,0.904615384615385
35,PLXDC1,0.872307692307692,UNC5C,0.870769230769231,TSHZ3,0.896153846153846,NMNAT3,0.903076923076923
36,IL17D,0.870769230769231,KCNJ6,0.870769230769231,ARHGAP9,0.891538461538462,MEIS2,0.902307692307692
37,GALNT12,0.870769230769231,DAGLA,0.87,FAM89A,0.891538461538462,FREM3,0.901538461538462
38,SORCS3,0.87,NMNAT2,0.868461538461539,GABRA5,0.891538461538462,CDH23,0.901538461538462
39,CACNA1A,0.866153846153846,ROBO2,0.867692307692308,GSG1,0.890769230769231,C13orf45,0.899788437494665
40,ROR2,0.865384615384615,RBMS1,0.867692307692308,PSMD14,0.890769230769231,KCNA1,0.899230769230769
41,KCNK3,0.863846153846154,DAPL1,0.866923076923077,TBX3,0.890769230769231,DFNA5,0.898461538461538
42,ATP8A1,0.863846153846154,GCNT2,0.866923076923077,AC026703.1,0.889230769230769,TPBG,0.897692307692308
43,RNF112,0.863076923076923,ZNF516,0.866153846153846,BNC2,0.888461538461539,LPAR4,0.896923076923077
44,GADD45A,0.856153846153846,HAS3,0.866153846153846,IGF2BP3,0.888461538461539,SHD,0.896153846153846
45,TGFA,0.856153846153846,FLNC,0.866153846153846,PARD6B,0.886923076923077,BARHL1,0.896153846153846
46,IQCA1,0.856153846153846,AL354993.1,0.865384615384615,SEMA3C,0.885384615384615,EOMES,0.893846153846154
47,TNFRSF19,0.854615384615385,SLC4A8,0.865384615384615,SBK2,0.884615384615385,ANKRD30B,0.893076923076923
48,EMX2,0.854615384615385,GLI1,0.864615384615385,SYTL4,0.883846153846154,KCNN1,0.892307692307692
49,ACKR3,0.851538461538462,PPP2R2C,0.863846153846154,PDE6H,0.883404268030891,EXPH5,0.892307692307692
50,FSTL4,0.850769230769231,BTBD11,0.862307692307692,HCN2,0.883076923076923,ESRRG,0.890769230769231
51,TMEM132C,0.850769230769231,BOK,0.856153846153846,GABARAPL1,0.883076923076923,CDH18,0.890769230769231
52,NRCAM,0.849230769230769,TSHZ2,0.853846153846154,GABRG2,0.883076923076923,SYCP1,0.888809713726884
53,VWDE,0.845384615384615,ARHGEF26,0.853846153846154,MAB21L2,0.881538461538462,NUDT4,0.888461538461539
54,CNGA3,0.844615384615385,MYO16,0.852307692307692,DENND1B,0.881538461538462,TP53BP2,0.886923076923077
55,DOK5,0.844615384615385,CHDH,0.850769230769231,TGFB3,0.880769230769231,STOX2,0.886153846153846
56,EPHA4,0.843846153846154,PRKCB,0.848461538461538,NPTX1,0.879230769230769,LHX1,0.884615384615385
57,NBL1,0.843076923076923,NDST3,0.846153846153846,FRMPD1,0.877692307692308,AC008060.7,0.883076923076923
58,KCNA2,0.843076923076923,SHROOM2,0.845384615384615,TRIM36,0.875384615384615,TLL1,0.882307692307692
59,HK2,0.842307692307692,IFITM10,0.845384615384615,USP2,0.874615384615385,TENM4,0.880769230769231
60,MYH15,0.841538461538462,GRIN2A,0.844615384615385,RD3L,0.873472079659911,FOXP2,0.880769230769231
61,GPR98,0.840769230769231,PARP9,0.843846153846154,CSRNP3,0.870769230769231,KBTBD11,0.88
62,VWA5B2,0.840769230769231,AFF3,0.843076923076923,RASGEF1B,0.870769230769231,TMEM163,0.88
63,FREM2,0.839230769230769,EMILIN3,0.842307692307692,FANCF,0.869230769230769,CHRM3,0.88
64,MYO1B,0.838461538461538,FAM19A5,0.842307692307692,INHBB,0.868461538461539,LRRC4B,0.879230769230769
65,EFNA5,0.835384615384615,SERINC2,0.841538461538462,CENPW,0.867692307692308,NKAIN3,0.878461538461539
66,SV2A,0.833076923076923,CALN1,0.84,DMD,0.867692307692308,AGTR1,0.878461538461539
67,IFNLR1,0.830769230769231,POU6F2,0.84,LIN28B,0.866051064936904,GDF7,0.877692307692308
68,TPM1,0.830769230769231,FAM43B,0.838461538461538,SLC5A8,0.864871311358914,KIAA0319,0.877692307692308
69,FRMPD2,0.828461538461538,INSM2,0.837692307692308,PCK2,0.863846153846154,TOX,0.876923076923077
70,AC092675.3,0.827851525219546,SRGAP1,0.836153846153846,CDKAL1,0.863846153846154,CPNE4,0.876153846153846
71,TGIF1,0.827692307692308,DCC,0.835384615384615,PCOLCE2,0.863076923076923,MCC,0.876153846153846
72,SVIL,0.827692307692308,CXorf57,0.835384615384615,SAMD3,0.861538461538462,GNAL,0.874615384615385
73,PDGFRA,0.826923076923077,TRHDE,0.834615384615385,LHX9,0.861319500449147,IGSF21,0.872307692307692
74,HSD17B14,0.826923076923077,CTC-360G5.1,0.833846153846154,PALMD,0.860769230769231,TMEM35,0.871538461538462
75,SYT14,0.826153846153846,MMP17,0.833076923076923,MAP7,0.858461538461538,LRRC38,0.870769230769231
76,COLGALT2,0.824615384615385,KCNT2,0.832307692307692,FGFBP3,0.857692307692308,TFAP2D,0.870276757054907
77,STON2,0.824615384615385,KLHL4,0.832307692307692,BTC,0.857692307692308,SMOC1,0.87
78,NKX6-1,0.823846153846154,TEX15,0.831538461538462,DENND1A,0.856923076923077,GRIK4,0.87
79,LEF1,0.823076923076923,IRX1,0.83,PRPH2,0.856153846153846,NIM1,0.867692307692308
80,ETFB,0.820769230769231,NDP,0.829230769230769,LAPTM4B,0.854615384615385,LPPR3,0.866923076923077
81,ST6GAL2,0.82,BCL11A,0.828461538461538,LRRC34,0.854615384615385,ACVR1,0.865384615384615
82,SLC13A3,0.82,EPB41L4B,0.827692307692308,HTR1A,0.854615384615385,MLLT3,0.864615384615385
83,BCAT2,0.817692307692308,IGLON5,0.826923076923077,HLX,0.853846153846154,CD200,0.863846153846154
