"SIGNOR ID";"PROT. FAMILY NAME";"LIST OF ENTITIES"
SIGNOR-PF82;Liprin-alpha;"O75145,  O75334,  Q13136"
SIGNOR-PF83;DIO;"P49895,  P55073,  Q92813"
SIGNOR-PF84;THR;"P10827,  P10828"
SIGNOR-PF86;HACD;"B0YJ81,  Q5VWC8,  Q6Y1H2,  Q9P035"
SIGNOR-PF87;HLA1;"P01889,  P04439,  P10321,  P13747,  P17693,  P30511"
SIGNOR-PF88;"Viral protein";"P03186,  P03200,  P03205,  P03206,  P03209,  P03211,  P03212,  P03217,  P03231,  P0C725,  P0DTC2,  P13288,  P59594,  P59595,  P59633,  P59634,  Q7TFA0,  Q80H93"
SIGNOR-PF89;Ubiquitin;"P0CG47,  P0CG48,  P62979,  P62987"
SIGNOR-PF90;"HLA2 beta chain";"P01911,  P01912,  P01920,  P04440,  P05538,  P13762,  P13765,  P28068,  P79483,  Q30154"
SIGNOR-PF91;"HLA2 alpha chain";"P01903,  P01906,  P01909,  P06340,  P20036,  P28067"
SIGNOR-PF92;Adenylate_cyclase;"O43306,  O60266,  O60503,  O95622,  P40145,  P51828,  Q08462,  Q08828,  Q8NFM4,  Q96PN6"
SIGNOR-PF93;ELOVL;"A1L3X0,  Q9BW60,  Q9GZR5,  Q9H5J4,  Q9HB03,  Q9NXB9,  Q9NYP7"
SIGNOR-PF95;Glycogenin;"O15488,  P46976"
SIGNOR-PF96;PYG;"P06737,  P11216,  P11217"
SIGNOR-PF97;Netrin;"O00634,  O95631,  Q9HB63"
SIGNOR-PF98;UNC5;"O95185,  Q6UXZ4,  Q6ZN44,  Q8IZJ1"
SIGNOR-PF100;Protocadherin_alpha;"Q9H158,  Q9UN72,  Q9UN73,  Q9UN74,  Q9UN75,  Q9Y5H5,  Q9Y5H6,  Q9Y5H7,  Q9Y5H8,  Q9Y5H9,  Q9Y5I0,  Q9Y5I1,  Q9Y5I2,  Q9Y5I3,  Q9Y5I4"
SIGNOR-PF102;Protocadherin_beta;"Q96TA0,  Q9NRJ7,  Q9UN66,  Q9UN67,  Q9Y5E1,  Q9Y5E2,  Q9Y5E3,  Q9Y5E4,  Q9Y5E5,  Q9Y5E6,  Q9Y5E7,  Q9Y5E8,  Q9Y5E9,  Q9Y5F0,  Q9Y5F1,  Q9Y5F2,  Q9Y5F3"
SIGNOR-PF103;Collagen;"A6NMZ7,  A8TX70,  P02452,  P02458,  P02461,  P02462,  P05997,  P08123,  P08572,  P12107,  P12109,  P12110,  P12111,  P13942,  P20849,  P20908,  P25067,  P25940,  P27658,  P29400,  P39059,  P39060,  P53420,  Q01955,  Q02388,  Q03692,  Q05707,  Q07092,  Q14031,  Q14050,  Q14055,  Q14993,  Q17RW2,  Q2UY09,  Q5TAT6,  Q86Y22,  Q8IZC6,  Q8NFW1,  Q96A83,  Q96P44,  Q99715,  Q9BXS0,  Q9P218,  Q9UMD9"
SIGNOR-PF104;"HECT E3 ligase";"O00308,  O15033,  O95071,  O95714,  P46934,  Q05086,  Q14669,  Q15034,  Q15386,  Q15751,  Q5GLZ8,  Q5T447,  Q5U5R9,  Q76N89,  Q7L622,  Q7Z3V4,  Q7Z6Z7,  Q8IVU3,  Q8IYU2,  Q96J02,  Q96PU5,  Q9H0M0,  Q9HAU4,  Q9HCE7,  Q9P2P5,  Q9UII4,  Q9ULT8,  Q9Y4D8"
SIGNOR-PF105;"E2 conjugating enzyme";"A0A1B0GUS4,  O00762,  O14933,  P49459,  P51668,  P51965,  P60604,  P61077,  P61081,  P61086,  P61088,  P62253,  P62256,  P62837,  P63146,  P63279,  P68036,  Q13404,  Q15819,  Q16763,  Q5JXB2,  Q5VVX9,  Q712K3,  Q7Z7E8,  Q8N2K1,  Q8WVN8,  Q969T4,  Q96B02,  Q96LR5,  Q9H832,  Q9NPD8,  Q9NR09,  Q9Y2X8,  Q9Y385"
SIGNOR-PF106;"RING E3 ligase";"A0AVI4,  A1L020,  A6NCK2,  A6NCQ9,  A6NDI0,  A6NGJ6,  A6NI03,  A6NK02,  A6NLI5,  A6NLU0,  A6NNE9,  A8MQ27,  A8MTL3,  C9J1S8,  E7ERA6,  F8VTS6,  I1YAP6,  M0QZC1,  O00237,  O00463,  O00623,  O00635,  O14686,  O15151,  O15164,  O15344,  O15541,  O34567,  O43164,  O43255,  O60260,  O60291,  O60337,  O60683,  O60858,  O75150,  O75382,  O75592,  O75677,  O75678,  O75679,  O76050,  O76064,  O94822,  O94941,  O94972,  O95155,  O95159,  O95376,  O95628,  P0CI25,  P0CI26,  P0DH78,  P14373,  P15918,  P19474,  P22681,  P28328,  P29590,  P35226,  P35227,  P36406,  P38398,  P49754,  P50876,  P51948,  P53804,  P62877,  P78317,  P98170,  Q00987,  Q03112,  Q06587,  Q12899,  Q12933,  Q12986,  Q13049,  Q13064,  Q13114,  Q13129,  Q13191,  Q13233,  Q13434,  Q13489,  Q13490,  Q13702,  Q14139,  Q14258,  Q14527,  Q149N8,  Q17RB8,  Q1L5Z9,  Q2KHN1,  Q2Q1W2,  Q2QGD7,  Q3KNV8,  Q495C1,  Q495X7,  Q496Y0,  Q5EBN2,  Q5M7Z0,  Q5T0T0,  Q5T197,  Q5TA31,  Q5TC82,  Q5U5Q3,  Q5VTB9,  Q5VTR2,  Q5W0B1,  Q5XPI4,  Q63HN8,  Q68DV7,  Q6AZZ1,  Q6DJT9,  Q6P9F5,  Q6PCD5,  Q6PJ69,  Q6PJI9,  Q6Q0C0,  Q6UWE0,  Q6VVB1,  Q6ZMK1,  Q6ZMN7,  Q6ZMU5,  Q6ZMZ0,  Q6ZN04,  Q6ZNA4,  Q6ZNB6,  Q6ZRF8,  Q6ZSG1,  Q6ZTA4,  Q6ZWI9,  Q75N03,  Q7L0R7,  Q7L5Y9,  Q7Z419,  Q7Z4K8,  Q7Z569,  Q7Z5L9,  Q7Z6E9,  Q7Z6J0,  Q86SE9,  Q86T96,  Q86TM6,  Q86UD3,  Q86UK7,  Q86UV6,  Q86UV7,  Q86UW9,  Q86WT6,  Q86XN8,  Q86XS8,  Q86XT4,  Q86Y01,  Q86Y13,  Q86YJ5,  Q86YT6,  Q8IU81,  Q8IUD6,  Q8IUQ4,  Q8IW03,  Q8IWR1,  Q8IWT3,  Q8IWZ4,  Q8IWZ5,  Q8IYA8,  Q8IYM9,  Q8IYW5,  Q8IZP6,  Q8N3P4,  Q8N448,  Q8N4F7,  Q8N5U6,  Q8N6D2,  Q8N7C7,  Q8N7E2,  Q8N8N0,  Q8N9I9,  Q8N9V2,  Q8N9V3,  Q8NA82,  Q8NB15,  Q8NC42,  Q8NCN4,  Q8ND24,  Q8ND25,  Q8NEG5,  Q8NEZ4,  Q8NG06,  Q8NG27,  Q8NHG8,  Q8NHY2,  Q8TBB1,  Q8TC41,  Q8TCQ1,  Q8TDB6,  Q8TEB7,  Q8TEC5,  Q8TEJ3,  Q8WU17,  Q8WV22,  Q8WV44,  Q8WVD3,  Q8WVD5,  Q8WVZ7,  Q8WWF5,  Q8WY64,  Q8WZ73,  Q969K3,  Q969Q1,  Q969V5,  Q96A37,  Q96A61,  Q96AX9,  Q96BH1,  Q96BQ3,  Q96CA5,  Q96D59,  Q96DX4,  Q96EH8,  Q96EP0,  Q96EP1,  Q96EQ8,  Q96EX2,  Q96F44,  Q96G75,  Q96GF1,  Q96K19,  Q96K83,  Q96LD4,  Q96MT1,  Q96P09,  Q96PM5,  Q96PU4,  Q96PX1,  Q96T88,  Q99496,  Q99590,  Q99675,  Q99728,  Q99942,  Q9BRZ2,  Q9BSJ1,  Q9BSM1,  Q9BUZ4,  Q9BV68,  Q9BVG3,  Q9BWF2,  Q9BWX1,  Q9BXT8,  Q9BY78,  Q9BYE7,  Q9BYJ4,  Q9BYM8,  Q9BYN7,  Q9BYV2,  Q9BYV6,  Q9BZR9,  Q9BZY9,  Q9C019,  Q9C026,  Q9C029,  Q9C030,  Q9C035,  Q9C037,  Q9C040,  Q9C0B0,  Q9H000,  Q9H0A6,  Q9H0F5,  Q9H0X6,  Q9H1B7,  Q9H270,  Q9H2S5,  Q9H4P4,  Q9H6Y7,  Q9H871,  Q9H8W5,  Q9H920,  Q9H992,  Q9H9P5,  Q9H9V4,  Q9HBD1,  Q9HC17,  Q9HCM9,  Q9NPC3,  Q9NQ86,  Q9NS56,  Q9NS91,  Q9NTX7,  Q9NVW2,  Q9NW38,  Q9NWF9,  Q9NX47,  Q9NXI6,  Q9NYG5,  Q9NZS9,  Q9P0J7,  Q9P0N8,  Q9P0P0,  Q9P1Y6,  Q9P253,  Q9P2E8,  Q9P2G1,  Q9UBF6,  Q9UBS8,  Q9UDY6,  Q9UHC7,  Q9UJV3,  Q9UKV5,  Q9ULK6,  Q9ULT6,  Q9ULV8,  Q9ULX5,  Q9UM63,  Q9UPN9,  Q9UPQ4,  Q9UPQ7,  Q9Y225,  Q9Y252,  Q9Y2E6,  Q9Y330,  Q9Y3C5,  Q9Y4K3,  Q9Y4L5,  Q9Y4X5,  Q9Y508,  Q9Y577,  Q9Y6U7"
SIGNOR-PF107;"RBR E3 ligase";"O60260,  O95376,  P50876,  Q7Z419,  Q8IWT3,  Q96EP0,  Q9BYM8,  Q9NV58,  Q9NWF9,  Q9P2G1,  Q9UBS8,  Q9Y4X5"
SIGNOR-PF108;"CGB Family";"P0DN86,  P0DN87"
SIGNOR-PF110;"TUBAC Family";"P0DPH7,  P0DPH8"
